injury_report,tweet,clean
0,"""My body feels great, my arm feels great, mentally I’m in a good place, and I’m excited to be here"" - pitchers coming back from a rehab assignment and people in line for their second vaccine shot.",My body feels great arm feels great mentally I good place I excited pitchers coming back rehab assignment people line second vaccine shot
0,Tokyo Olympics organizing committee chief hasn’t ruled out last-minute cancellation of Games  https://t.co/PpI8VdTJ6J,Tokyo Olympics organizing committee chief ruled lastminute cancellation Games httpstcoPpIVdTJJ
0,"Mitch Moreland came out with a ""non-related baseball issue"" per Melvin.",Mitch Moreland came nonrelated baseball issue per Melvin
0,@kennlandry  https://t.co/GYmxgwSYmw,kennlandry httpstcoGYmxgwSYmw
0,"The #Browns are waiving rookie DT Marvin Wilson, source said.   The most coveted undrafted player back in May, Wilson is wanted back on Cleveland's practice squad -- but the other 31 teams have a shot at him on waivers first.",The Browns waiving rookie DT Marvin Wilson source said The coveted undrafted player back May Wilson wanted back Clevelands practice squad teams shot waivers first
0,"Who will close tonight? Boone said ""it could be anyone,"" Chapman included.",Who close tonight Boone said could anyone Chapman included
0,Olympic athletes still get condoms – despite COVID rules in Tokyo  https://t.co/n2Yb0r0B5u  https://t.co/NsGm1Wg5Db,Olympic athletes still get condoms despite COVID rules Tokyo httpstconYbrBu httpstcoNsGmWgDb
0,"@Kchile22 There also might be some U.S. entry protocols related to COVID, not sure what the policy would be right now for someone from Spain who was in Japan",Kchile There also might US entry protocols related COVID sure policy would right someone Spain Japan
0, https://t.co/3SgAFgNOJj,httpstcoSgAFgNOJj
0,@jackwramsey  https://t.co/1UJ6gvyjKk,jackwramsey httpstcoUJgvyjKk
0,@courtney883  https://t.co/6hs9VtUb2F,courtney httpstcohsVtUbF
0,"Are the Mets benefitting from all their doubleheaders?  Several notable stats, plus comments from Luis Rojas, within:  https://t.co/BiZtrd8GkI",Are Mets benefitting doubleheaders Several notable stats plus comments Luis Rojas within httpstcoBiZtrdGkI
0,Chicago Cubs Lineup: Anthony Rizzo Leads Off as Willson Contreras Gets Some Rest -  https://t.co/m8ZOwjkE1I (via BN),Chicago Cubs Lineup Anthony Rizzo Leads Off Willson Contreras Gets Some Rest httpstcomZOwjkEI via BN
0,Coyotes selecting Josh Doan  https://t.co/r7OXBrLQxB,Coyotes selecting Josh Doan httpstcorOXBrLQxB
0,@haley_darling …as a healthy snack.,haleydarling healthy snack
0,"Patriots 53-man roster tracker: Up-to-minute cuts, trades, rumors  https://t.co/L9OOmZI0mr",Patriots man roster tracker Uptominute cuts trades rumors httpstcoLOOmZImr
0,Alex Cora -- 'Every time we lose a series we're disappointed. Now we move on.' #RedSox,Alex Cora Every time lose series disappointed Now move RedSox
0, https://t.co/0xSlZiMv6H,httpstcoxSlZiMvH
0,#BlueJays announce they’ve acquired RHP Trevor Richards and RHP Bowden Francis from the Brewers for INF Rowdy Tellez.,BlueJays announce acquired RHP Trevor Richards RHP Bowden Francis Brewers INF Rowdy Tellez
0,", @joerogan tests positive for COVID, says he's taking unapproved deworming drug ivermectin  https://t.co/IgAOZzq2FW #COVID19",joerogan tests positive COVID says taking unapproved deworming drug ivermectin httpstcoIgAOZzqFW COVID
0,Keegan Thompson takes another step forward in his development   https://t.co/6HLXbMTlRa,Keegan Thompson takes another step forward development httpstcoHLXbMTlRa
0,Xander Bogaerts: ‘Help is on its way’ for Boston Red Sox; Chris Sale ‘is a warrior’  https://t.co/24ubEZgl18,Xander Bogaerts Help way Boston Red Sox Chris Sale warrior httpstcoubEZgl
0,"La Russa- Luis Robert will not return this weekend vs. Cubs but says return is ""imminent"".  His play with AAA Charlotte this weekend will be crucial in determining his status.",La Russa Luis Robert return weekend vs Cubs says return imminent His play AAA Charlotte weekend crucial determining status
0,Incoming hug from Tío Albert.  https://t.co/FgzqkpMjIs,Incoming hug Tío Albert httpstcoFgzqkpMjIs
0,Danny Jansen caught John Axford down in Triple-A. He says that Axford was “throwing bowling balls.”  “I don’t think there was a pitch under 97.” #BlueJays,Danny Jansen caught John Axford TripleA He says Axford throwing bowling balls I think pitch BlueJays
0,@VivianMPayton  https://t.co/9SfXcS5qMe,VivianMPayton httpstcoSfXcSqMe
0,Mookie Betts scratched from lineup on Tuesday  https://t.co/pzDkjx6UAb,Mookie Betts scratched lineup Tuesday httpstcopzDkjxUAb
0,@SHeathcoat  https://t.co/ILwrw6e3xH,SHeathcoat httpstcoILwrwexH
0,"Dick Tidrow, former pitcher and San Francisco Giants executive, dies at 74  https://t.co/IYFknyldSd",Dick Tidrow former pitcher San Francisco Giants executive dies httpstcoIYFknyldSd
0,"You hurt Connor Joe, I hurt you.",You hurt Connor Joe I hurt
0,"With Aaron Rodgers absent, the #Packers have Jake Dolegala at minicamp as a tryout player, giving them four QBs on the field.",With Aaron Rodgers absent Packers Jake Dolegala minicamp tryout player giving four QBs field
0,Yoko 🙏🏻  https://t.co/GMsymcS1E6,Yoko httpstcoGMsymcSE
0,Christian Arroyo joining us on Zoom. #RedSox,Christian Arroyo joining us Zoom RedSox
0,I musta done something right.  https://t.co/YhYOgEPBLM,I musta done something right httpstcoYhYOgEPBLM
0,@michaelsclair right! so interesting having them T-2 on this list!!,michaelsclair right interesting T list
0,"According to #orioles transactions page, and confirmed by official, they acquired pitcher Hugo Beltran, 21, from #dodgers today for cash considerations. Pitched in Dominican Summer League 2018-19.",According orioles transactions page confirmed official acquired pitcher Hugo Beltran dodgers today cash considerations Pitched Dominican Summer League
0,"When I talked to Senzel a few weeks ago, he said that everyone is “on the same page” about a “flex-utility role.”",When I talked Senzel weeks ago said everyone page flexutility role
0,Bo Naylor knows the long ball.  The #Indians' No. 3 prospect has three in as many @AkronRubberDuck games.  https://t.co/sklBlg8qbL,Bo Naylor knows long ball The Indians No prospect three many AkronRubberDuck games httpstcosklBlgqbL
0,"🚨New pod🚨#Astros continue free falling, drop 4th in a row. @EricTalksStros and @HtownWheelhouse discuss on @LockedOnAstros.  ⚾️ Greinke pulled too soon ⚾️ Why Taylor in that spot? ⚾️ Chas and Jake rake ⚾️ Bregman update? 🎧  https://t.co/ivnIT687iq 🎥 Sub  https://t.co/StJnA7Ar69  https://t.co/xQncblgqQ3",continue free falling drop th row EricTalksStros HtownWheelhouse discuss LockedOnAstros Greinke pulled soon Why Taylor spot Chas Jake rake Bregman update httpstcoivnITiq Sub httpstcoStJnAAr httpstcoxQncblgqQ
0,Work mode activated. 🔘  @PlanetFitness | #WorkoutWednesday  https://t.co/zZZeYFE8oo,Work mode activated PlanetFitness WorkoutWednesday httpstcozZZeYFEoo
0,Cora said Houck is feeling good after his start Sunday. He also said they were discussing things roster-wise earlier today. (Bloom actually called Cora mid media session and Cora told him he'd call back.)  Here's the latest on Houck's status  https://t.co/Kmtp2Apcd6,Cora said Houck feeling good start Sunday He also said discussing things rosterwise earlier today Bloom actually called Cora mid media session Cora told would call back Heres latest Houcks status httpstcoKmtpApcd
0,@Joe_W_Dolphins  https://t.co/V9yG0GzT8m,JoeWDolphins httpstcoVyGGzTm
0,ICYM  https://t.co/rqVMqgVkUG,ICYM httpstcorqVMqgVkUG
0,Ryan Mountcastle keeps raking. 2-run double in 1st. #orioles,Ryan Mountcastle keeps raking run double st orioles
0,"After the second pitch to Heyward was called a strike, Willson Contreras barked from the dugout.  HP umpire Pat Hoberg wastes no time in ejecting the Cubs catcher from the game here in the 9th. Contreras took to the field, but was held back by Ross.  https://t.co/0aaKrp1mWV",After second pitch Heyward called strike Willson Contreras barked dugout HP umpire Pat Hoberg wastes time ejecting Cubs catcher game th Contreras took field held back Ross httpstcoaaKrpmWV
0,Breaking: Source says OF Trey Amburgey has been promoted to the New York Yankees. A long anticipated move.,Breaking Source says OF Trey Amburgey promoted New York Yankees A long anticipated move
0,The Diamondbacks have hit three straight doubles -- one aided by Raimel Tapia -- to take a 2-0 lead in the first.,The Diamondbacks hit three straight doubles one aided Raimel Tapia take lead first
0,"@Scottyterrible @JonKrawczynski @mnsuperfan27 @DadBodLive No, he tested positive",Scottyterrible JonKrawczynski mnsuperfan DadBodLive No tested positive
0,"Jonathan Loaisiga is back with the #Yankees, per Aaron Boone. He will throw on a flat ground and work out today.  Loaisiga will throw a bullpen tomorrow, mix in another 'pen or live in the coming days and then will possibly be active over the weekend, Boone says.",Jonathan Loaisiga back Yankees per Aaron Boone He throw flat ground work today Loaisiga throw bullpen tomorrow mix another pen live coming days possibly active weekend Boone says
