,tweet,clean,injury_report,model_predictions
12,ATs and PTs -- I am limping (or whatever the hand equivalent) in to finishing my book and my hands are hurting. Just simple overuse I think. Any therapies or stretches or modalities you'd recommend?,ATs PTs I limping whatever hand equivalent finishing book hands hurting Just simple overuse I think Any therapies stretches modalities would recommend,0,1
16,"""My body feels great, my arm feels great, mentally I’m in a good place, and I’m excited to be here"" - pitchers coming back from a rehab assignment and people in line for their second vaccine shot.",My body feels great arm feels great mentally I good place I excited pitchers coming back rehab assignment people line second vaccine shot,0,1
31,ICYMI: 🚨 What's the skinny today?  ‣ The NFL has set its COVID-19 protocols  ‣ But that’s a “non-issue” for the Steelers  From: @BrianBatko ⬇️  https://t.co/Tv0tAOpTj8,ICYMI Whats skinny today The NFL set COVID protocols But nonissue Steelers From BrianBatko httpstcoTvtAOpTj,0,1
59,Castro went 3 for 11 (.273) with three home runs and two walks for a 1.476 OPS in six games (two starts) since being recalled earler this month.,Castro went three home runs two walks OPS six games two starts since recalled earler month,0,1
66,"Mitch Moreland came out with a ""non-related baseball issue"" per Melvin.",Mitch Moreland came nonrelated baseball issue per Melvin,0,1
189,Chicago Cubs Lineup: Anthony Rizzo Leads Off as Willson Contreras Gets Some Rest -  https://t.co/m8ZOwjkE1I (via BN),Chicago Cubs Lineup Anthony Rizzo Leads Off Willson Contreras Gets Some Rest httpstcomZOwjkEI via BN,0,1
214,"Final: #Tigers 5, Rangers 3  Record: 40-47.  Detroit is 31-23 since May 8 and 11-5 since June 20, entering a four-game series with the Minnesota Twins ahead of the All-Star break.",Final Tigers Rangers Record Detroit since May since June entering fourgame series Minnesota Twins ahead AllStar break,0,1
221,@BrooksAD May or may not have a torn hamstring in the morning 😂😂,BrooksAD May may torn hamstring morning,0,1
248,The Yankees Have Their 2nd Covid Outbreak Of The Season As Tonight's Game Against The Red Sox Has Been Cancelled  https://t.co/dvV5Wa7DPH,The Yankees Have Their nd Covid Outbreak Of The Season As Tonights Game Against The Red Sox Has Been Cancelled httpstcodvVWaDPH,0,1
258,@BringDaNoyz @mctarfu19611 @StevenACohen2 Basically if we are in 2nd place on July 30th I can live with that. 2 months of baseball to play. You don’t overpay now that’s a horrible idea.,BringDaNoyz mctarfu StevenACohen Basically nd place July th I live months baseball play You overpay horrible idea,0,1
261,"The Reds are 10 back from the Dodgers and Brewers so they really aren’t playing for anything right now. On top of it they still play Barnhart, Suarez, Farmer, and Aquino it’s a tough watch tbh",The Reds back Dodgers Brewers really playing anything right On top still play Barnhart Suarez Farmer Aquino tough watch tbh,0,1
268,@MeekPhill_ We have to declare our keepers in mid-July for mid-August draft and he was one of mine.   However there’s a rule if between the date their kept and draft day if someone gets a confirmed season ending injury you can replace them,MeekPhill We declare keepers midJuly midAugust draft one mine However rule date kept draft day someone gets confirmed season ending injury replace,0,1
285,#Rockies drop this one 4-2 to the Padres.,Rockies drop one Padres,0,1
308,", @joerogan tests positive for COVID, says he's taking unapproved deworming drug ivermectin  https://t.co/IgAOZzq2FW #COVID19",joerogan tests positive COVID says taking unapproved deworming drug ivermectin httpstcoIgAOZzqFW COVID,0,1
316,"It’s going down at the Dutch with ⁦@Jomboy_⁩, ⁦@TalkinJake⁩, ⁦@K_MacDonald29⁩ and Aaron Bossi  https://t.co/cWkuRlsDcB",It going Dutch Aaron Bossi httpstcocWkuRlsDcB,0,1
334,@danielmatis4 No,danielmatis No,0,1
347,"La Russa- Luis Robert will not return this weekend vs. Cubs but says return is ""imminent"".  His play with AAA Charlotte this weekend will be crucial in determining his status.",La Russa Luis Robert return weekend vs Cubs says return imminent His play AAA Charlotte weekend crucial determining status,0,1
400,Matt Olson and Joey Gallo got a practice #HomeRunDerby in during BP earlier this week.   @Athletics | #AllStarGame  https://t.co/EBF0Z9552g,Matt Olson Joey Gallo got practice HomeRunDerby BP earlier week Athletics AllStarGame httpstcoEBFZg,0,1
409,"ICYMI on today's @JenLada, Gabe, and Chewy... ▶️ 🐐 v. 🛥️ ▶️ Worst injuries ▶️ So long, PJ  Find every episode of JGC wherever you get your podcasts!  🍎:  https://t.co/tU7wvowoD0 🟢:  https://t.co/b8AnM9ikFM  https://t.co/IoKyRs5YyW",ICYMI todays JenLada Gabe Chewy v Worst injuries So long PJ Find every episode JGC wherever get podcasts httpstcotUwvowoD httpstcobAnMikFM httpstcoIoKyRsYyW,0,1
429,@letsgochibears I think he didn't talk to the right people or they weren't being honest with him. Jenkins didn't reinjure himself playing. He never took a snap. Clearly they missed it.,letsgochibears I think talk right people honest Jenkins reinjure playing He never took snap Clearly missed,0,1
439,"You hurt Connor Joe, I hurt you.",You hurt Connor Joe I hurt,0,1
505,Jack Mayfield has hit 7 HR since the All-Star break for the Angels. 🤔,Jack Mayfield hit HR since AllStar break Angels,0,1
542,"🚨New pod🚨#Astros continue free falling, drop 4th in a row. @EricTalksStros and @HtownWheelhouse discuss on @LockedOnAstros.  ⚾️ Greinke pulled too soon ⚾️ Why Taylor in that spot? ⚾️ Chas and Jake rake ⚾️ Bregman update? 🎧  https://t.co/ivnIT687iq 🎥 Sub  https://t.co/StJnA7Ar69  https://t.co/xQncblgqQ3",continue free falling drop th row EricTalksStros HtownWheelhouse discuss LockedOnAstros Greinke pulled soon Why Taylor spot Chas Jake rake Bregman update httpstcoivnITiq Sub httpstcoStJnAAr httpstcoxQncblgqQ,0,1
555,Work mode activated. 🔘  @PlanetFitness | #WorkoutWednesday  https://t.co/zZZeYFE8oo,Work mode activated PlanetFitness WorkoutWednesday httpstcozZZeYFEoo,0,1
557,Cora said Houck is feeling good after his start Sunday. He also said they were discussing things roster-wise earlier today. (Bloom actually called Cora mid media session and Cora told him he'd call back.)  Here's the latest on Houck's status  https://t.co/Kmtp2Apcd6,Cora said Houck feeling good start Sunday He also said discussing things rosterwise earlier today Bloom actually called Cora mid media session Cora told would call back Heres latest Houcks status httpstcoKmtpApcd,0,1
558,Vote for your Doosan Shot of the Day from  https://t.co/6mH0pNJX5D #TheOpen #Doosan #DoosanShotOfTheDay  https://t.co/JgsHwAf2gr,Vote Doosan Shot Day httpstcomHpNJXD TheOpen Doosan DoosanShotOfTheDay httpstcoJgsHwAfgr,0,1
581,@ShaneRsski90 @BNightengale These are the kind of tweets that need the 😆 button. How about we see how the trade goes. They got more than Cordero. It isn’t a bust because of Benny. He definitely hasn’t got better as the season has gone on. He is hitting .167 in the last month.,ShaneRsski BNightengale These kind tweets need button How see trade goes They got Cordero It bust Benny He definitely got better season gone He hitting last month,0,1
625,"@Scottyterrible @JonKrawczynski @mnsuperfan27 @DadBodLive No, he tested positive",Scottyterrible JonKrawczynski mnsuperfan DadBodLive No tested positive,0,1
628,"Jonathan Loaisiga is back with the #Yankees, per Aaron Boone. He will throw on a flat ground and work out today.  Loaisiga will throw a bullpen tomorrow, mix in another 'pen or live in the coming days and then will possibly be active over the weekend, Boone says.",Jonathan Loaisiga back Yankees per Aaron Boone He throw flat ground work today Loaisiga throw bullpen tomorrow mix another pen live coming days possibly active weekend Boone says,0,1
655,Stephen Jones: #Cowboys “are going to be careful” with injuries as training camp looms  https://t.co/Tp1jcZz8tG,Stephen Jones Cowboys going careful injuries training camp looms httpstcoTpjcZztG,0,1
659,Having eye surgery in the morning. See y'alls later ... I hope.,Having eye surgery morning See alls later I hope,0,1
678,The Bryant's understood the assignment. #AllStarGame  https://t.co/bf63Vw0j9L,The Bryants understood assignment AllStarGame httpstcobfVwjL,0,1
