injury_report,tweet,clean
0,ATs and PTs -- I am limping (or whatever the hand equivalent) in to finishing my book and my hands are hurting. Just simple overuse I think. Any therapies or stretches or modalities you'd recommend?,ATs PTs I limping whatever hand equivalent finishing book hands hurting Just simple overuse I think Any therapies stretches modalities would recommend
0,"""My body feels great, my arm feels great, mentally I’m in a good place, and I’m excited to be here"" - pitchers coming back from a rehab assignment and people in line for their second vaccine shot.",My body feels great arm feels great mentally I good place I excited pitchers coming back rehab assignment people line second vaccine shot
0,"It's not nearly that cut and dried. They're still going to want good players, even very flawed players, and they can afford to carry a player like this much more *because* of the other profiles in place/consideration- Madrigal, Nico, Rivas, Deichmann, etc.",Its nearly cut dried Theyre still going want good players even flawed players afford carry player like much profiles placeconsideration Madrigal Nico Rivas Deichmann etc
0,"Mitch Moreland came out with a ""non-related baseball issue"" per Melvin.",Mitch Moreland came nonrelated baseball issue per Melvin
0,"The #Browns are waiving rookie DT Marvin Wilson, source said.   The most coveted undrafted player back in May, Wilson is wanted back on Cleveland's practice squad -- but the other 31 teams have a shot at him on waivers first.",The Browns waiving rookie DT Marvin Wilson source said The coveted undrafted player back May Wilson wanted back Clevelands practice squad teams shot waivers first
0,"After watching the success of Justin Fields in his first game, who looks better this morning?  cc: @Zanderocker @fred_huebner   #DaBears #BearDown",After watching success Justin Fields first game looks better morning cc Zanderocker fredhuebner DaBears BearDown
0,"Mets’ stretch of 16 straight games against divisional opponents ended last night. They began the stretch on June 18 with a 4.5 gm lead in the NL East.   Then they put up these results:  vs. Nationals: 1-4 vs. Braves: 3-4 vs. Phillies: 2-2  Mets still in first place, but by 2 gms.",Mets stretch straight games divisional opponents ended last night They began stretch June gm lead NL East Then put results vs Nationals vs Braves vs Phillies Mets still first place gms
0,Chicago Cubs Lineup: Anthony Rizzo Leads Off as Willson Contreras Gets Some Rest -  https://t.co/m8ZOwjkE1I (via BN),Chicago Cubs Lineup Anthony Rizzo Leads Off Willson Contreras Gets Some Rest httpstcomZOwjkEI via BN
0,"Patriots 53-man roster tracker: Up-to-minute cuts, trades, rumors  https://t.co/L9OOmZI0mr",Patriots man roster tracker Uptominute cuts trades rumors httpstcoLOOmZImr
0,@BrooksAD May or may not have a torn hamstring in the morning 😂😂,BrooksAD May may torn hamstring morning
0,The Yankees Have Their 2nd Covid Outbreak Of The Season As Tonight's Game Against The Red Sox Has Been Cancelled  https://t.co/dvV5Wa7DPH,The Yankees Have Their nd Covid Outbreak Of The Season As Tonights Game Against The Red Sox Has Been Cancelled httpstcodvVWaDPH
0,@MeekPhill_ We have to declare our keepers in mid-July for mid-August draft and he was one of mine.   However there’s a rule if between the date their kept and draft day if someone gets a confirmed season ending injury you can replace them,MeekPhill We declare keepers midJuly midAugust draft one mine However rule date kept draft day someone gets confirmed season ending injury replace
0,#BlueJays announce they’ve acquired RHP Trevor Richards and RHP Bowden Francis from the Brewers for INF Rowdy Tellez.,BlueJays announce acquired RHP Trevor Richards RHP Bowden Francis Brewers INF Rowdy Tellez
0,Keegan Thompson takes another step forward in his development   https://t.co/6HLXbMTlRa,Keegan Thompson takes another step forward development httpstcoHLXbMTlRa
0,Let Lebron have westbrook or cp3 and it’s a wrap son,Let Lebron westbrook cp wrap son
0,Multiple sources have told me Aaron Judge is the player involved.  The five  #RedSox All-Stars were told to take social distancing precautions until the situation is resolved.,Multiple sources told Aaron Judge player involved The five RedSox AllStars told take social distancing precautions situation resolved
0,Xander Bogaerts: ‘Help is on its way’ for Boston Red Sox; Chris Sale ‘is a warrior’  https://t.co/24ubEZgl18,Xander Bogaerts Help way Boston Red Sox Chris Sale warrior httpstcoubEZgl
0,"#Dodgers vs. #DBacks: RF Mookie Betts, 1B Max Muncy, 3B Justin Turner, CF Cody Bellinger, C Will Smith, 2B Chris Taylor, SS Gavin Lux, LF AJ Pollock, LHP David Price.",Dodgers vs DBacks RF Mookie Betts B Max Muncy B Justin Turner CF Cody Bellinger C Will Smith B Chris Taylor SS Gavin Lux LF AJ Pollock LHP David Price
0,"La Russa- Luis Robert will not return this weekend vs. Cubs but says return is ""imminent"".  His play with AAA Charlotte this weekend will be crucial in determining his status.",La Russa Luis Robert return weekend vs Cubs says return imminent His play AAA Charlotte weekend crucial determining status
0,Kevin Gausman is the best pitcher this side of Jacob deGrom and the #SFGiants wrapped up the first half as the best team in baseball.  Remember how unrealistic that playoff chatter felt this spring? It's all very real heading into the All-Star break.   https://t.co/EQd0K7W5NK,Kevin Gausman best pitcher side Jacob deGrom SFGiants wrapped first half best team baseball Remember unrealistic playoff chatter felt spring Its real heading AllStar break httpstcoEQdKWNK
